filename,total_atoms,target_atoms,top_n,min_z_top,max_z_top,mean_z_top
adhension_pdms_DFS_CB2_0.30B1_0.15B_0.02k_0.1000T300N1_32n1_2880N2_0n2_0N3_0n3_0z_95NAll_92160crosslinkfinal.data,566931,101760,5088,62.41619821411995,78.13369497773489,65.2757281087427
adhension_pdms_DFS_CB2_0.30B1_0.15B_0.02k_0.1000T300N1_32n1_3840N2_0n2_0N3_0n3_0z_95NAll_122880crosslinkfinal.data,649577,132480,6624,70.09454754078335,86.7641116121922,72.9991311342854
adhension_pdms_DFS_CB2_0.30B1_0.15B_0.02k_0.1000T300N1_32n1_4800N2_0n2_0N3_0n3_0z_95NAll_153600crosslinkfinal.data,720854,163200,8160,76.64363741890618,89.10670009035627,79.38852102338578
adhension_pdms_DFS_CB2_0.30B1_0.15B_0.02k_0.1000T300N1_32n1_5760N2_0n2_0N3_0n3_0z_95NAll_184320crosslinkfinal.data,793672,193920,9696,82.21944164974339,94.40424745580749,84.9599810386003
