# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 0.2525 0 0
2000 0.7525 0 0
3000 1.2525 0 0
4000 1.7525 0 0
5000 2.2525 0 0
6000 2.7525 0 0
7000 3.2525 0 0
8000 3.7525 0 0
9000 4.2525 0 0
10000 4.7525 0 0
11000 5.2525 0 0
12000 5.7525 0 0
13000 6.2525 0 0
14000 6.7525 0 0
15000 7.2525 0 0
16000 7.7525 0 0
17000 8.2525 0 0
18000 8.7525 0 0
19000 9.2525 0 0
20000 9.7525 0 0
21000 10.2525 0 0
22000 10.7525 0 0
23000 11.2525 0 0
24000 11.7525 0 0
25000 12.2525 0 0
26000 12.7525 0 0
27000 13.2525 0 0
28000 13.7525 0 0
29000 14.2525 0 0
30000 14.7525 0 0
31000 15.2525 0 0
32000 15.7525 0 0
33000 16.2525 0 0
34000 16.7525 0 0
35000 17.2525 0 0
36000 17.7525 0 0
37000 18.2525 0 0
38000 18.7525 0 0
39000 19.2525 0 0
40000 19.7525 0 0
41000 20.2525 0 0
42000 20.7525 0 0
43000 21.2525 0 0
44000 21.7525 0 0
45000 22.2525 0 0
46000 22.7525 0 0
47000 23.2525 0 0
48000 23.7525 0 0
49000 24.2525 0 0
50000 24.7525 0 0
51000 25.2525 0 0
52000 25.7525 0 0
53000 26.2525 0 0
54000 26.7525 0 0
55000 27.2525 0 0
56000 27.7525 0 0
57000 28.2525 0 0
58000 28.7525 0 0
59000 29.2525 0 0
60000 29.7525 0 0
61000 30.2525 0 0
62000 30.7525 0 0
63000 31.2525 0 0
64000 31.7525 0 0
65000 32.2525 0 0
66000 32.7525 0 0
67000 33.2525 0 0
68000 33.7525 0 0
69000 34.2525 0 0
70000 34.7525 0 0
71000 35.2525 0 0
72000 35.7525 0 0
73000 36.2525 0 0
74000 36.7525 0 0
75000 37.2525 0 0
76000 37.7525 0 0
77000 38.2525 0 0
78000 38.7525 0 0
79000 39.2525 0 0
80000 39.7525 0 0
81000 40.2525 0 0
82000 40.7525 0 0
83000 41.2525 0 0
84000 41.7525 0 0
85000 42.2525 0 0
86000 42.7525 0 0
87000 43.2525 0 0
88000 43.7525 0 0
89000 44.2525 0 0
90000 44.7525 -0.000110503 -9.17681e-09
91000 45.2525 -0.00215106 -1.78636e-07
92000 45.7525 0 0
93000 46.2525 -0.00151906 -1.26151e-07
94000 46.7525 -0.0342791 -2.84674e-06
95000 47.2525 -0.0674951 -5.60518e-06
96000 47.7525 -0.126203 -1.04806e-05
97000 48.2525 -0.0202742 -1.68369e-06
98000 48.7525 -0.100054 -8.30902e-06
99000 49.2525 -0.195966 -1.62741e-05
100000 49.7525 0.0313863 2.6065e-06
101000 50.2525 -0.224259 -1.86237e-05
102000 50.7525 -0.379262 -3.14961e-05
103000 51.2525 -0.123041 -1.0218e-05
104000 51.7525 -0.421073 -3.49683e-05
105000 52.2525 -0.22604 -1.87717e-05
106000 52.7525 -0.569626 -4.7305e-05
107000 53.2525 -0.451418 -3.74883e-05
108000 53.7525 -1.14062 -9.47233e-05
109000 54.2525 -1.97766 -0.000164236
110000 54.7525 -1.44316 -0.000119848
111000 55.2525 -2.32903 -0.000193416
112000 55.7525 -2.85893 -0.000237422
113000 56.2525 -4.09422 -0.000340008
114000 56.7525 -4.53025 -0.000376218
115000 57.2525 -5.13549 -0.000426481
116000 57.7525 -6.98132 -0.000579769
117000 58.2525 -7.55084 -0.000627065
118000 58.7525 -6.89223 -0.00057237
119000 59.2525 -10.2647 -0.000852442
120000 59.7525 -10.3418 -0.00085884
121000 60.2525 -11.006 -0.000913999
122000 60.7525 -9.35606 -0.000776981
123000 61.2525 -13.9018 -0.00115449
124000 61.7525 -11.9795 -0.000994844
125000 62.2525 -11.3687 -0.000944121
126000 62.7525 -15.7895 -0.00131125
127000 63.2525 -14.6422 -0.00121598
128000 63.7525 -14.977 -0.00124377
129000 64.2525 -16.097 -0.00133679
130000 64.7525 -20.5999 -0.00171073
131000 65.2525 -18.4431 -0.00153162
132000 65.7525 -19.0296 -0.00158033
133000 66.2525 -20.0144 -0.00166211
134000 66.7525 -23.3544 -0.00193948
135000 67.2525 -18.8159 -0.00156258
136000 67.7525 -23.0119 -0.00191104
137000 68.2525 -20.9508 -0.00173988
138000 68.7525 -19.6786 -0.00163422
139000 69.2525 -20.2576 -0.00168231
140000 69.7525 -17.6708 -0.00146748
141000 70.2525 -18.8349 -0.00156416
142000 70.7525 -13.0151 -0.00108085
143000 71.2525 -16.0809 -0.00133545
144000 71.7525 -12.5901 -0.00104556
145000 72.2525 -11.1492 -0.000925895
146000 72.7525 -8.96888 -0.000744827
147000 73.2525 -9.24057 -0.00076739
148000 73.7525 -5.76864 -0.000479061
149000 74.2525 -0.338474 -2.81089e-05
150000 74.7525 -1.6531 -0.000137283
151000 75.2525 6.2475 0.000518828
152000 75.7525 5.65547 0.000469662
153000 76.2525 13.2378 0.00109934
154000 76.7525 19.747 0.00163991
155000 77.2525 17.8134 0.00147932
156000 77.7525 22.9201 0.00190342
157000 78.2525 25.1249 0.00208651
158000 78.7525 29.3867 0.00244044
159000 79.2525 30.9965 0.00257413
160000 79.7525 37.5978 0.00312233
161000 80.2525 42.7348 0.00354894
162000 80.7525 44.1159 0.00366364
163000 81.2525 50.9353 0.00422996
164000 81.7525 50.3796 0.00418381
165000 82.2525 62.5264 0.00519255
166000 82.7525 66.6803 0.00553752
167000 83.2525 70.3473 0.00584205
168000 83.7525 72.7182 0.00603893
169000 84.2525 81.945 0.00680518
170000 84.7525 82.806 0.00687669
# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 84.7475 34.1487 0.0028359
2000 84.2475 41.5407 0.00344977
3000 83.7475 28.9146 0.00240123
4000 83.2475 9.89957 0.000822117
5000 82.7475 -1.6846 -0.000139899
6000 82.2475 -13.9167 -0.00115572
7000 81.7475 -20.9541 -0.00174015
8000 81.2475 -33.1739 -0.00275495
9000 80.7475 -34.0195 -0.00282518
10000 80.2475 -45.8718 -0.00380945
11000 79.7475 -49.5049 -0.00411117
12000 79.2475 -54.7351 -0.00454551
13000 78.7475 -60.8824 -0.00505603
14000 78.2475 -63.9247 -0.00530868
15000 77.7475 -66.6523 -0.00553519
16000 77.2475 -73.3536 -0.0060917
17000 76.7475 -71.3172 -0.00592259
18000 76.2475 -74.6819 -0.00620201
19000 75.7475 -78.5568 -0.00652381
