# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 -0.0166697
2000 0.7525 -0.0537547
3000 1.2525 -0.068743
4000 1.7525 -0.208375
5000 2.2525 -0.290259
6000 2.7525 -0.770819
7000 3.2525 -0.316503
8000 3.7525 -0.827321
9000 4.2525 -1.5459
10000 4.7525 -2.0723
11000 5.2525 -1.95541
12000 5.7525 -1.35146
13000 6.2525 -3.15734
14000 6.7525 -3.05312
15000 7.2525 -2.79206
16000 7.7525 -4.22319
17000 8.2525 -4.67861
18000 8.7525 -4.25682
19000 9.2525 -4.72399
20000 9.7525 -6.91571
21000 10.2525 -7.30663
22000 10.7525 -7.16224
23000 11.2525 -11.3423
24000 11.7525 -10.367
25000 12.2525 -14.621
26000 12.7525 -19.5509
27000 13.2525 -21.7003
28000 13.7525 -23.1194
29000 14.2525 -26.5154
30000 14.7525 -26.6027
31000 15.2525 -29.586
32000 15.7525 -29.8162
33000 16.2525 -30.9012
34000 16.7525 -29.4671
35000 17.2525 -28.4926
36000 17.7525 -28.4422
37000 18.2525 -26.7611
38000 18.7525 -28.3714
39000 19.2525 -20.2837
40000 19.7525 -21.449
41000 20.2525 -17.4262
42000 20.7525 -12.7436
43000 21.2525 -10.9926
44000 21.7525 -7.21966
45000 22.2525 -3.63433
46000 22.7525 1.71574
47000 23.2525 2.54169
48000 23.7525 7.41903
49000 24.2525 9.72861
50000 24.7525 18.3297
51000 25.2525 18.4119
52000 25.7525 24.8608
53000 26.2525 30.9839
54000 26.7525 37.545
55000 27.2525 40.9474
56000 27.7525 40.3846
57000 28.2525 51.746
58000 28.7525 56.637
59000 29.2525 60.6067
60000 29.7525 67.6905
61000 30.2525 69.2403
62000 30.7525 80.5488
63000 31.2525 82.2364
64000 31.7525 84.181
65000 32.2525 99.6763
66000 32.7525 108.182
67000 33.2525 108.589
68000 33.7525 114.049
69000 34.2525 119.402
70000 34.7525 132.064
71000 35.2525 136.673
72000 35.7525 139.847
73000 36.2525 147.087
74000 36.7525 154.55
75000 37.2525 160.458
76000 37.7525 172.208
77000 38.2525 173.257
78000 38.7525 178.615
79000 39.2525 186.512
80000 39.7525 200.696
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 39.7475 125.744
2000 39.2475 136.197
3000 38.7475 125.244
4000 38.2475 102.575
5000 37.7475 83.9389
6000 37.2475 65.4846
7000 36.7475 50.6134
8000 36.2475 35.7024
9000 35.7475 23.7006
10000 35.2475 11.9577
11000 34.7475 3.76867
12000 34.2475 -9.89251
13000 33.7475 -15.0109
14000 33.2475 -25.2092
15000 32.7475 -36.2026
16000 32.2475 -42.1493
17000 31.7475 -45.8569
18000 31.2475 -53.6453
19000 30.7475 -60.7486
20000 30.2475 -64.4269
21000 29.7475 -66.688
22000 29.2475 -76.9141
23000 28.7475 -75.2602
24000 28.2475 -82.845
25000 27.7475 -86.3373
26000 27.2475 -90.4262
27000 26.7475 -89.8734
28000 26.2475 -93.6088
29000 25.7475 -97.2122
30000 25.2475 -102.93
31000 24.7475 -101.697
32000 24.2475 -105.165
33000 23.7475 -103.78
34000 23.2475 -110.108
35000 22.7475 -114.179
36000 22.2475 -111.481
37000 21.7475 -111.387
38000 21.2475 -114.08
39000 20.7475 -117.716
40000 20.2475 -115.293
41000 19.7475 -118.337
42000 19.2475 -118.077
43000 18.7475 -115.732
