# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 -0.09688
2000 0.7525 -0.146144
3000 1.2525 -0.0392978
4000 1.7525 -0.528928
5000 2.2525 0.212432
6000 2.7525 -0.45518
7000 3.2525 -0.358814
8000 3.7525 -0.683149
9000 4.2525 -0.692554
10000 4.7525 -0.45013
11000 5.2525 -0.38181
12000 5.7525 -0.605647
13000 6.2525 -1.73576
14000 6.7525 -1.04565
15000 7.2525 -1.85547
16000 7.7525 -1.42032
17000 8.2525 -2.59972
18000 8.7525 -2.49451
19000 9.2525 -4.18443
20000 9.7525 -3.6172
21000 10.2525 -5.47333
22000 10.7525 -6.17388
23000 11.2525 -5.82409
24000 11.7525 -8.16506
25000 12.2525 -9.39151
26000 12.7525 -10.3282
27000 13.2525 -9.41027
28000 13.7525 -11.5791
29000 14.2525 -11.4938
30000 14.7525 -10.7265
31000 15.2525 -13.5547
32000 15.7525 -11.8312
33000 16.2525 -12.2736
34000 16.7525 -12.8456
35000 17.2525 -14.6272
36000 17.7525 -14.0506
37000 18.2525 -16.5108
38000 18.7525 -16.5375
39000 19.2525 -18.0093
40000 19.7525 -17.5185
41000 20.2525 -14.6589
42000 20.7525 -13.5443
43000 21.2525 -12.0558
44000 21.7525 -14.9555
45000 22.2525 -7.95054
46000 22.7525 -6.33659
47000 23.2525 -6.42739
48000 23.7525 -1.70198
49000 24.2525 -2.11992
50000 24.7525 1.68836
51000 25.2525 0.487796
52000 25.7525 2.05556
53000 26.2525 9.76723
54000 26.7525 10.2154
55000 27.2525 14.4604
56000 27.7525 20.67
57000 28.2525 20.7672
58000 28.7525 27.4868
59000 29.2525 30.3828
60000 29.7525 31.0352
61000 30.2525 39.4659
62000 30.7525 37.7307
63000 31.2525 46.0419
64000 31.7525 50.5239
65000 32.2525 54.3755
66000 32.7525 58.4779
67000 33.2525 66.329
68000 33.7525 68.5955
69000 34.2525 80.6026
70000 34.7525 81.9392
71000 35.2525 84.0056
72000 35.7525 89.0432
73000 36.2525 96.9474
74000 36.7525 100.187
75000 37.2525 105.452
76000 37.7525 112.579
77000 38.2525 116.874
78000 38.7525 122.867
79000 39.2525 123.953
80000 39.7525 135.247
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 39.7475 74.5829
2000 39.2475 81.5973
3000 38.7475 72.3462
4000 38.2475 52.1621
5000 37.7475 37.0102
6000 37.2475 26.5634
7000 36.7475 12.0802
8000 36.2475 5.34141
9000 35.7475 -4.22688
10000 35.2475 -13.1182
11000 34.7475 -15.507
12000 34.2475 -26.2424
13000 33.7475 -32.1578
14000 33.2475 -36.7118
15000 32.7475 -42.7213
16000 32.2475 -47.3923
17000 31.7475 -45.3809
18000 31.2475 -55.966
19000 30.7475 -57.487
20000 30.2475 -60.2593
21000 29.7475 -62.7706
22000 29.2475 -66.8214
23000 28.7475 -68.5049
24000 28.2475 -73.3681
25000 27.7475 -72.0642
26000 27.2475 -71.2182
27000 26.7475 -76.9264
28000 26.2475 -77.6133
29000 25.7475 -80.9159
30000 25.2475 -78.3172
31000 24.7475 -79.7979
32000 24.2475 -82.0942
33000 23.7475 -81.6605
34000 23.2475 -86.3836
35000 22.7475 -82.3924
36000 22.2475 -84.4878
37000 21.7475 -83.0393
38000 21.2475 -83.9859
39000 20.7475 -86.9069
40000 20.2475 -86.7516
41000 19.7475 -84.854
42000 19.2475 -87.0628
43000 18.7475 -86.0477
44000 18.2475 -85.9975
45000 17.7475 -86.5045
46000 17.2475 -86.0506
47000 16.7475 -86.1624
48000 16.2475 -88.9951
49000 15.7475 -87.8421
50000 15.2475 -88.4304
51000 14.7475 -84.4852
52000 14.2475 -87.2213
53000 13.7475 -85.7838
54000 13.2475 -86.9345
55000 12.7475 -87.4253
56000 12.2475 -86.1884
57000 11.7475 -85.323
58000 11.2475 -85.0509
59000 10.7475 -82.8976
60000 10.2475 -85.3339
61000 9.7475 -84.2925
62000 9.2475 -82.7162
63000 8.7475 -79.5515
64000 8.2475 -82.3579
65000 7.7475 -81.3603
66000 7.2475 -82.9568
67000 6.7475 -80.6459
68000 6.2475 -80.5659
69000 5.7475 -78.4865
70000 5.2475 -81.3056
71000 4.7475 -79.3341
72000 4.2475 -77.4532
73000 3.7475 -77.5491
74000 3.2475 -75.9679
