# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 0.2525 -0.188769 -1.56764e-05
2000 0.7525 -0.288915 -2.39932e-05
3000 1.2525 -0.347003 -2.88171e-05
4000 1.7525 -0.163802 -1.36031e-05
5000 2.2525 -0.17695 -1.46949e-05
6000 2.7525 -0.323281 -2.68471e-05
7000 3.2525 -0.169122 -1.40448e-05
8000 3.7525 -0.350871 -2.91383e-05
9000 4.2525 -0.0495748 -4.11698e-06
10000 4.7525 -0.195121 -1.6204e-05
11000 5.2525 -0.0769875 -6.39348e-06
12000 5.7525 -0.185785 -1.54287e-05
13000 6.2525 -0.119423 -9.91759e-06
14000 6.7525 -0.269763 -2.24026e-05
15000 7.2525 -0.227777 -1.89159e-05
16000 7.7525 -0.201495 -1.67333e-05
17000 8.2525 -0.0162222 -1.34719e-06
18000 8.7525 -0.158774 -1.31855e-05
19000 9.2525 -0.171531 -1.42449e-05
20000 9.7525 -0.219787 -1.82523e-05
21000 10.2525 -0.277364 -2.30339e-05
22000 10.7525 -0.194828 -1.61796e-05
23000 11.2525 -0.0414669 -3.44365e-06
24000 11.7525 -0.338545 -2.81147e-05
25000 12.2525 -0.0156321 -1.29818e-06
26000 12.7525 -0.217906 -1.80962e-05
27000 13.2525 -0.0498777 -4.14213e-06
28000 13.7525 -0.0733225 -6.08912e-06
29000 14.2525 -0.245072 -2.03522e-05
30000 14.7525 -0.228645 -1.8988e-05
31000 15.2525 -0.131257 -1.09003e-05
32000 15.7525 -0.179526 -1.49089e-05
33000 16.2525 -0.0559583 -4.6471e-06
34000 16.7525 -0.272467 -2.26272e-05
35000 17.2525 -0.171463 -1.42393e-05
36000 17.7525 -0.171716 -1.42603e-05
37000 18.2525 -0.12238 -1.01631e-05
38000 18.7525 -0.333635 -2.7707e-05
39000 19.2525 0.0359368 2.9844e-06
40000 19.7525 -0.198629 -1.64953e-05
41000 20.2525 -0.305114 -2.53384e-05
42000 20.7525 -0.094347 -7.83512e-06
43000 21.2525 -0.16885 -1.40223e-05
44000 21.7525 -0.229384 -1.90494e-05
45000 22.2525 -0.25614 -2.12714e-05
46000 22.7525 0.0349156 2.89959e-06
47000 23.2525 -0.248766 -2.06589e-05
48000 23.7525 -0.282361 -2.34489e-05
49000 24.2525 -0.0781813 -6.49263e-06
50000 24.7525 -0.28444 -2.36216e-05
51000 25.2525 0.00545242 4.528e-07
52000 25.7525 -0.316661 -2.62973e-05
53000 26.2525 0.139187 1.15589e-05
54000 26.7525 -0.273571 -2.27189e-05
55000 27.2525 -0.0532904 -4.42554e-06
56000 27.7525 -0.112836 -9.37056e-06
