# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 -0.0775756
2000 0.7525 -0.240514
3000 1.2525 -0.518557
4000 1.7525 -0.535405
5000 2.2525 -1.0352
6000 2.7525 -1.7342
7000 3.2525 -1.80956
8000 3.7525 -2.63586
9000 4.2525 -2.62119
10000 4.7525 -3.43949
11000 5.2525 -3.81012
12000 5.7525 -3.66865
13000 6.2525 -4.25907
14000 6.7525 -4.65134
15000 7.2525 -6.18468
16000 7.7525 -6.16308
17000 8.2525 -6.35757
18000 8.7525 -6.69345
19000 9.2525 -6.72859
20000 9.7525 -6.44128
21000 10.2525 -8.3155
22000 10.7525 -7.41329
23000 11.2525 -9.84108
24000 11.7525 -9.94559
25000 12.2525 -10.1453
26000 12.7525 -10.7123
27000 13.2525 -10.4124
28000 13.7525 -14.1631
29000 14.2525 -13.0081
30000 14.7525 -14.7068
31000 15.2525 -15.8027
32000 15.7525 -17.1593
33000 16.2525 -17.2229
34000 16.7525 -17.9893
35000 17.2525 -19.2865
36000 17.7525 -23.639
37000 18.2525 -23.2253
38000 18.7525 -25.3535
39000 19.2525 -28.6341
40000 19.7525 -31.9603
41000 20.2525 -31.7203
42000 20.7525 -27.6428
43000 21.2525 -34.4936
44000 21.7525 -32.2138
45000 22.2525 -26.8328
46000 22.7525 -36.8085
47000 23.2525 -29.1612
48000 23.7525 -28.0555
49000 24.2525 -27.0899
50000 24.7525 -22.4419
51000 25.2525 -21.778
52000 25.7525 -19.8578
53000 26.2525 -13.1222
54000 26.7525 -12.9116
55000 27.2525 -7.9535
56000 27.7525 -2.69817
57000 28.2525 -2.29813
58000 28.7525 6.28742
59000 29.2525 10.8831
60000 29.7525 12.1187
61000 30.2525 18.7893
62000 30.7525 20.8301
63000 31.2525 30.5874
64000 31.7525 33.8045
65000 32.2525 38.7096
66000 32.7525 43.7266
67000 33.2525 47.9034
68000 33.7525 57.8983
69000 34.2525 62.6947
70000 34.7525 68.1158
71000 35.2525 70.6516
72000 35.7525 73.5418
73000 36.2525 81.5531
74000 36.7525 93.2357
75000 37.2525 96.0527
76000 37.7525 101.766
77000 38.2525 105.62
78000 38.7525 111.593
79000 39.2525 122.563
80000 39.7525 129.962
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 39.7475 59.2834
2000 39.2475 74.3298
3000 38.7475 63.6141
4000 38.2475 43.4751
5000 37.7475 25.0957
6000 37.2475 0.582235
7000 36.7475 -2.18791
8000 36.2475 -16.3784
9000 35.7475 -25.6633
10000 35.2475 -33.4711
11000 34.7475 -43.6254
12000 34.2475 -57.2834
13000 33.7475 -63.0597
14000 33.2475 -66.1961
15000 32.7475 -68.9799
16000 32.2475 -83.4673
17000 31.7475 -80.4178
18000 31.2475 -93.4071
19000 30.7475 -96.0173
