# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 -0.00528553
2000 0.7525 -0.0146121
3000 1.2525 -0.023923
4000 1.7525 -0.100272
5000 2.2525 -0.159313
6000 2.7525 -0.400743
7000 3.2525 -0.316398
8000 3.7525 -0.484333
9000 4.2525 -0.307439
10000 4.7525 -0.697639
11000 5.2525 -0.952258
12000 5.7525 -1.01312
13000 6.2525 -1.09409
14000 6.7525 -0.801658
15000 7.2525 -1.7413
16000 7.7525 -2.20172
17000 8.2525 -1.17672
18000 8.7525 -3.58694
19000 9.2525 -1.29081
20000 9.7525 -2.74997
21000 10.2525 -1.81589
22000 10.7525 -2.33957
23000 11.2525 -3.22198
24000 11.7525 -3.16145
25000 12.2525 -3.78012
26000 12.7525 -3.30592
27000 13.2525 -5.45953
28000 13.7525 -3.79448
29000 14.2525 -5.75102
30000 14.7525 -4.02874
31000 15.2525 -5.95732
32000 15.7525 -7.06635
33000 16.2525 -7.19687
34000 16.7525 -7.16587
35000 17.2525 -9.20548
36000 17.7525 -10.9043
37000 18.2525 -12.3907
38000 18.7525 -11.2297
39000 19.2525 -14.6426
40000 19.7525 -15.0164
41000 20.2525 -12.6977
42000 20.7525 -15.003
43000 21.2525 -13.051
44000 21.7525 -12.3484
45000 22.2525 -14.5375
46000 22.7525 -10.6316
47000 23.2525 -9.90529
48000 23.7525 -9.73123
49000 24.2525 -8.82338
50000 24.7525 -3.72629
51000 25.2525 -6.4959
52000 25.7525 -3.80602
53000 26.2525 -4.48344
54000 26.7525 1.87166
55000 27.2525 2.5705
56000 27.7525 7.89786
57000 28.2525 5.24361
58000 28.7525 9.05546
59000 29.2525 14.2452
60000 29.7525 16.6088
61000 30.2525 14.6206
62000 30.7525 24.4667
63000 31.2525 26.0789
64000 31.7525 29.8305
65000 32.2525 31.6044
66000 32.7525 37.4215
67000 33.2525 41.9297
68000 33.7525 45.0615
69000 34.2525 51.6514
70000 34.7525 57.1604
71000 35.2525 58.9988
72000 35.7525 68.9504
73000 36.2525 68.8418
74000 36.7525 74.8772
75000 37.2525 82.5616
76000 37.7525 86.6422
77000 38.2525 87.9669
78000 38.7525 96.4779
79000 39.2525 98.4974
80000 39.7525 104.14
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 39.7475 57.1953
2000 39.2475 63.133
3000 38.7475 46.177
4000 38.2475 26.9037
5000 37.7475 16.3776
6000 37.2475 4.28611
7000 36.7475 -1.10038
8000 36.2475 -12.6962
9000 35.7475 -19.239
10000 35.2475 -24.6377
11000 34.7475 -28.5519
12000 34.2475 -36.3364
13000 33.7475 -42.5438
14000 33.2475 -44.5765
15000 32.7475 -48.9592
16000 32.2475 -51.7654
17000 31.7475 -52.7558
18000 31.2475 -56.8617
19000 30.7475 -57.8913
20000 30.2475 -60.3376
21000 29.7475 -63.6083
22000 29.2475 -62.0135
23000 28.7475 -66.5193
24000 28.2475 -66.6218
25000 27.7475 -66.3077
26000 27.2475 -66.7101
27000 26.7475 -68.5553
28000 26.2475 -69.862
29000 25.7475 -72.9706
30000 25.2475 -71.2956
31000 24.7475 -70.7685
32000 24.2475 -72.9882
33000 23.7475 -70.1289
34000 23.2475 -72.7831
35000 22.7475 -71.6603
