# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 0.2525 0 0
2000 0.7525 0 0
3000 1.2525 0 0
4000 1.7525 0 0
5000 2.2525 0 0
6000 2.7525 0 0
7000 3.2525 0 0
8000 3.7525 0 0
9000 4.2525 0 0
10000 4.7525 0 0
11000 5.2525 0 0
12000 5.7525 0 0
13000 6.2525 0 0
14000 6.7525 0 0
15000 7.2525 0 0
16000 7.7525 0 0
17000 8.2525 0 0
18000 8.7525 0 0
19000 9.2525 0 0
20000 9.7525 0 0
21000 10.2525 0 0
22000 10.7525 0 0
23000 11.2525 0 0
24000 11.7525 0 0
25000 12.2525 0 0
26000 12.7525 0 0
27000 13.2525 0 0
28000 13.7525 0 0
29000 14.2525 0 0
30000 14.7525 0 0
31000 15.2525 0 0
32000 15.7525 0 0
33000 16.2525 0 0
34000 16.7525 0 0
35000 17.2525 0 0
36000 17.7525 0 0
37000 18.2525 0 0
38000 18.7525 0 0
39000 19.2525 0 0
40000 19.7525 0 0
41000 20.2525 0 0
42000 20.7525 0 0
43000 21.2525 0 0
44000 21.7525 0 0
45000 22.2525 0 0
46000 22.7525 0 0
47000 23.2525 0 0
48000 23.7525 0 0
49000 24.2525 0 0
50000 24.7525 0 0
51000 25.2525 0 0
52000 25.7525 0 0
53000 26.2525 0 0
54000 26.7525 0 0
55000 27.2525 0 0
56000 27.7525 0 0
57000 28.2525 0 0
58000 28.7525 0 0
59000 29.2525 0 0
60000 29.7525 0 0
61000 30.2525 0 0
62000 30.7525 0 0
63000 31.2525 0 0
64000 31.7525 0 0
65000 32.2525 0 0
66000 32.7525 0 0
67000 33.2525 0 0
68000 33.7525 0 0
69000 34.2525 0 0
70000 34.7525 0 0
71000 35.2525 0 0
72000 35.7525 0 0
73000 36.2525 0 0
74000 36.7525 0 0
75000 37.2525 0 0
76000 37.7525 0 0
77000 38.2525 0 0
78000 38.7525 0 0
79000 39.2525 0 0
80000 39.7525 0 0
81000 40.2525 0 0
82000 40.7525 0 0
83000 41.2525 0 0
84000 41.7525 0 0
85000 42.2525 0 0
86000 42.7525 0 0
87000 43.2525 0 0
88000 43.7525 -0.002033 -1.68832e-07
89000 44.2525 -0.0367946 -3.05563e-06
90000 44.7525 -0.0394428 -3.27555e-06
91000 45.2525 -0.232441 -1.93032e-05
92000 45.7525 0.0497005 4.12741e-06
93000 46.2525 -0.0485875 -4.03498e-06
94000 46.7525 -0.34113 -2.83294e-05
95000 47.2525 -0.203065 -1.68637e-05
96000 47.7525 -0.239589 -1.98968e-05
97000 48.2525 -0.235124 -1.95261e-05
98000 48.7525 -0.259565 -2.15558e-05
99000 49.2525 -0.307191 -2.55109e-05
100000 49.7525 -0.33412 -2.77472e-05
101000 50.2525 -0.668245 -5.54949e-05
102000 50.7525 -0.291742 -2.42279e-05
103000 51.2525 -0.658038 -5.46472e-05
104000 51.7525 -0.426614 -3.54285e-05
105000 52.2525 -0.493207 -4.09587e-05
106000 52.7525 -0.402613 -3.34353e-05
107000 53.2525 -0.981944 -8.15463e-05
108000 53.7525 -0.9165 -7.61114e-05
109000 54.2525 -0.762187 -6.32964e-05
110000 54.7525 -1.6613 -0.000137964
111000 55.2525 -2.07439 -0.00017227
112000 55.7525 -2.13152 -0.000177014
113000 56.2525 -2.78183 -0.000231019
114000 56.7525 -3.29239 -0.000273419
115000 57.2525 -2.98837 -0.000248171
116000 57.7525 -3.7775 -0.000313706
117000 58.2525 -5.94807 -0.000493962
118000 58.7525 -5.49676 -0.000456482
119000 59.2525 -6.28083 -0.000521596
120000 59.7525 -7.25399 -0.000602413
121000 60.2525 -9.09536 -0.00075533
122000 60.7525 -8.82804 -0.000733131
123000 61.2525 -9.90316 -0.000822415
124000 61.7525 -11.7168 -0.000973033
125000 62.2525 -12.139 -0.00100809
126000 62.7525 -12.6307 -0.00104893
127000 63.2525 -14.0913 -0.00117022
128000 63.7525 -16.5521 -0.00137458
129000 64.2525 -14.2418 -0.00118272
130000 64.7525 -17.2826 -0.00143525
131000 65.2525 -15.4859 -0.00128603
132000 65.7525 -19.8413 -0.00164773
133000 66.2525 -18.7452 -0.00155671
134000 66.7525 -19.4982 -0.00161924
135000 67.2525 -18.1864 -0.00151031
136000 67.7525 -19.1707 -0.00159204
137000 68.2525 -20.3062 -0.00168634
138000 68.7525 -21.6167 -0.00179517
139000 69.2525 -18.6454 -0.00154842
140000 69.7525 -14.3065 -0.00118809
141000 70.2525 -19.2812 -0.00160122
142000 70.7525 -17.5424 -0.00145682
143000 71.2525 -16.4974 -0.00137004
144000 71.7525 -11.2653 -0.000935532
145000 72.2525 -9.76519 -0.000810957
146000 72.7525 -10.9807 -0.000911901
147000 73.2525 -11.448 -0.000950711
148000 73.7525 -4.44971 -0.000369529
149000 74.2525 0.224541 1.86471e-05
150000 74.7525 -2.49985 -0.000207602
151000 75.2525 -0.863087 -7.16757e-05
152000 75.7525 3.65057 0.000303164
153000 76.2525 8.36372 0.000694571
154000 76.7525 9.66207 0.000802393
155000 77.2525 13.2917 0.00110382
156000 77.7525 19.6093 0.00162847
157000 78.2525 16.5802 0.00137691
158000 78.7525 25.6675 0.00213158
159000 79.2525 26.3834 0.00219103
160000 79.7525 34.3695 0.00285424
161000 80.2525 33.0101 0.00274134
162000 80.7525 37.3621 0.00310276
163000 81.2525 43.0572 0.00357571
164000 81.7525 48.3519 0.00401542
165000 82.2525 50.5638 0.00419911
166000 82.7525 56.5155 0.00469337
167000 83.2525 62.9603 0.00522858
168000 83.7525 67.1237 0.00557434
169000 84.2525 70.9512 0.00589219
170000 84.7525 76.7386 0.00637281
# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 84.7475 22.574 0.00187468
2000 84.2475 38.9862 0.00323764
3000 83.7475 18.906 0.00157007
4000 83.2475 5.79027 0.000480857
5000 82.7475 -4.83091 -0.000401186
6000 82.2475 -19.3335 -0.00160557
7000 81.7475 -24.5417 -0.00203808
8000 81.2475 -29.913 -0.00248415
9000 80.7475 -38.0414 -0.00315918
10000 80.2475 -44.2572 -0.00367537
11000 79.7475 -48.3673 -0.0040167
12000 79.2475 -56.5621 -0.00469724
13000 78.7475 -62.0944 -0.00515668
14000 78.2475 -59.9559 -0.00497908
15000 77.7475 -65.608 -0.00544847
16000 77.2475 -71.9706 -0.00597685
17000 76.7475 -71.1735 -0.00591065
