# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 0
2000 0.7525 0
3000 1.2525 0
4000 1.7525 -0.000126345
5000 2.2525 -0.00964627
6000 2.7525 -0.0294004
7000 3.2525 -0.115538
8000 3.7525 -0.0517448
9000 4.2525 -0.127593
10000 4.7525 -0.314538
11000 5.2525 -0.267889
12000 5.7525 -0.465133
13000 6.2525 -0.536684
14000 6.7525 -0.834444
15000 7.2525 -1.41448
16000 7.7525 -2.47641
17000 8.2525 -2.98351
18000 8.7525 -3.49359
19000 9.2525 -4.30638
20000 9.7525 -6.04663
21000 10.2525 -7.97505
22000 10.7525 -11.5318
23000 11.2525 -11.6394
24000 11.7525 -15.8013
25000 12.2525 -16.9303
26000 12.7525 -20.2467
27000 13.2525 -24.1937
28000 13.7525 -24.9124
29000 14.2525 -24.3
30000 14.7525 -26.8886
31000 15.2525 -24.8207
32000 15.7525 -28.0181
33000 16.2525 -26.3672
34000 16.7525 -25.4964
35000 17.2525 -20.3203
36000 17.7525 -24.015
37000 18.2525 -21.3926
38000 18.7525 -17.9083
39000 19.2525 -18.64
40000 19.7525 -14.3421
41000 20.2525 -10.7353
42000 20.7525 -12.3822
43000 21.2525 -10.377
44000 21.7525 -7.44752
45000 22.2525 -6.60996
46000 22.7525 6.11764
47000 23.2525 2.84182
48000 23.7525 6.1888
49000 24.2525 12.5795
50000 24.7525 13.8027
51000 25.2525 21.6418
52000 25.7525 27.1195
53000 26.2525 34.4054
54000 26.7525 29.8342
55000 27.2525 39.6297
56000 27.7525 46.3204
57000 28.2525 49.171
58000 28.7525 50.4276
59000 29.2525 56.8012
60000 29.7525 62.1032
61000 30.2525 67.832
62000 30.7525 72.7467
63000 31.2525 78.2526
64000 31.7525 83.1316
65000 32.2525 85.8222
66000 32.7525 91.7536
67000 33.2525 102.763
68000 33.7525 102.929
69000 34.2525 113.299
70000 34.7525 114.828
71000 35.2525 123.038
72000 35.7525 124.121
73000 36.2525 140.733
74000 36.7525 139.494
75000 37.2525 144.673
76000 37.7525 152.931
77000 38.2525 159.87
78000 38.7525 163.192
79000 39.2525 176.557
80000 39.7525 175.968
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 39.7475 108.238
2000 39.2475 120.585
3000 38.7475 109.364
4000 38.2475 85.7504
5000 37.7475 60.9488
6000 37.2475 53.2051
7000 36.7475 34.9209
8000 36.2475 27.1529
9000 35.7475 16.9914
10000 35.2475 3.33947
11000 34.7475 -0.375438
12000 34.2475 -17.4578
13000 33.7475 -17.4572
14000 33.2475 -27.5409
15000 32.7475 -34.9046
16000 32.2475 -40.4362
17000 31.7475 -48.8999
18000 31.2475 -54.294
19000 30.7475 -57.1397
20000 30.2475 -64.1253
21000 29.7475 -67.3437
22000 29.2475 -68.987
23000 28.7475 -71.2867
24000 28.2475 -74.9092
25000 27.7475 -78.9693
26000 27.2475 -85.8927
27000 26.7475 -88.0802
28000 26.2475 -86.8375
29000 25.7475 -92.8691
30000 25.2475 -91.4234
31000 24.7475 -97.0731
32000 24.2475 -99.0277
33000 23.7475 -100.894
34000 23.2475 -99.2916
35000 22.7475 -96.1852
36000 22.2475 -103.198
37000 21.7475 -107.845
38000 21.2475 -106.058
39000 20.7475 -106.48
40000 20.2475 -105.125
41000 19.7475 -108.653
42000 19.2475 -110.167
43000 18.7475 -107.41
44000 18.2475 -107.581
45000 17.7475 -110.286
46000 17.2475 -109.941
47000 16.7475 -109.312
48000 16.2475 -110.943
49000 15.7475 -111.342
50000 15.2475 -109.525
51000 14.7475 -107.265
52000 14.2475 -112.479
53000 13.7475 -110.657
54000 13.2475 -107.025
55000 12.7475 -111.604
56000 12.2475 -106.828
57000 11.7475 -111.486
58000 11.2475 -106.363
59000 10.7475 -106.11
60000 10.2475 -108.493
61000 9.7475 -106.951
62000 9.2475 -108.431
63000 8.7475 -105.694
64000 8.2475 -106.037
65000 7.7475 -106.629
66000 7.2475 -105.526
67000 6.7475 -103.925
68000 6.2475 -103.94
69000 5.7475 -105.035
70000 5.2475 -102.457
71000 4.7475 -103.927
72000 4.2475 -102.983
73000 3.7475 -100.53
74000 3.2475 -102.647
75000 2.7475 -102.639
76000 2.2475 -98.8945
77000 1.7475 -100.228
78000 1.2475 -98.6478
79000 0.7475 -96.9083
80000 0.2475 -94.2684
81000 -0.2525 -96.0109
82000 -0.7525 -94.1594
83000 -1.2525 -92.1397
84000 -1.7525 -90.3409
85000 -2.2525 -88.3078
86000 -2.7525 -87.1874
87000 -3.2525 -81.2554
88000 -3.7525 -80.5991
89000 -4.2525 -79.0375
90000 -4.7525 -74.8134
91000 -5.2525 -74.7731
92000 -5.7525 -71.5239
93000 -6.2525 -67.5805
94000 -6.7525 -62.5276
95000 -7.2525 -58.1878
96000 -7.7525 -54.8252
97000 -8.2525 -51.7107
98000 -8.7525 -48.078
99000 -9.2525 -43.8182
100000 -9.7525 -41.2363
101000 -10.2525 -36.9814
102000 -10.7525 -33.9789
103000 -11.2525 -31.029
104000 -11.7525 -26.7025
105000 -12.2525 -25.336
106000 -12.7525 -21.8727
107000 -13.2525 -21.0519
108000 -13.7525 -17.1688
109000 -14.2525 -14.69
110000 -14.7525 -13.7831
111000 -15.2525 -12.527
112000 -15.7525 -10.824
113000 -16.2525 -7.47717
114000 -16.7525 -6.46539
115000 -17.2525 -4.91797
116000 -17.7525 -4.20316
117000 -18.2525 -3.62588
118000 -18.7525 -2.70726
119000 -19.2525 -2.09475
120000 -19.7525 -1.91481
