# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 -0.0416457
2000 0.7525 -0.162203
3000 1.2525 -0.300676
4000 1.7525 -0.244921
5000 2.2525 -0.891508
6000 2.7525 -0.533656
7000 3.2525 -1.19608
8000 3.7525 -1.41364
9000 4.2525 -2.09839
10000 4.7525 -1.6307
11000 5.2525 -1.83123
12000 5.7525 -2.18469
13000 6.2525 -2.95866
14000 6.7525 -2.67615
15000 7.2525 -4.16803
16000 7.7525 -4.35582
17000 8.2525 -2.74931
18000 8.7525 -3.8263
19000 9.2525 -4.38403
20000 9.7525 -4.78174
21000 10.2525 -3.76609
22000 10.7525 -6.76689
23000 11.2525 -4.88217
24000 11.7525 -5.95151
25000 12.2525 -6.78087
26000 12.7525 -7.45946
27000 13.2525 -7.93506
28000 13.7525 -8.30343
29000 14.2525 -11.1454
30000 14.7525 -8.45837
31000 15.2525 -10.868
32000 15.7525 -11.3685
33000 16.2525 -12.3832
34000 16.7525 -12.667
35000 17.2525 -12.4587
36000 17.7525 -14.6358
37000 18.2525 -16.4536
38000 18.7525 -18.5168
39000 19.2525 -19.9876
40000 19.7525 -18.555
41000 20.2525 -22.8897
42000 20.7525 -21.2263
43000 21.2525 -18.7641
44000 21.7525 -20.8493
45000 22.2525 -18.2267
46000 22.7525 -18.7823
47000 23.2525 -16.889
48000 23.7525 -14.3803
49000 24.2525 -12.6902
50000 24.7525 -9.15992
51000 25.2525 -5.81981
52000 25.7525 -2.11759
53000 26.2525 1.70044
54000 26.7525 3.4236
55000 27.2525 8.22154
56000 27.7525 12.3498
57000 28.2525 14.7952
58000 28.7525 19.2633
59000 29.2525 25.2253
60000 29.7525 31.7283
61000 30.2525 36.3014
62000 30.7525 33.6476
63000 31.2525 47.0445
64000 31.7525 50.6574
65000 32.2525 56.8949
66000 32.7525 59.6635
67000 33.2525 64.6743
68000 33.7525 74.7716
69000 34.2525 77.1066
70000 34.7525 80.3729
71000 35.2525 89.6639
72000 35.7525 93.4163
73000 36.2525 99.1815
74000 36.7525 105.492
75000 37.2525 108.138
76000 37.7525 114.724
77000 38.2525 120.545
78000 38.7525 126.504
79000 39.2525 135.67
80000 39.7525 136.836
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 39.7475 79.1912
2000 39.2475 91.6295
3000 38.7475 78.8294
4000 38.2475 56.6339
5000 37.7475 43.506
6000 37.2475 26.2318
7000 36.7475 18.0663
8000 36.2475 5.77021
9000 35.7475 -3.40593
10000 35.2475 -13.5621
11000 34.7475 -20.9685
12000 34.2475 -25.282
13000 33.7475 -36.3701
14000 33.2475 -42.5903
15000 32.7475 -47.6025
16000 32.2475 -50.5831
17000 31.7475 -59.61
18000 31.2475 -61.6448
19000 30.7475 -63.6167
20000 30.2475 -68.0898
21000 29.7475 -70.7616
22000 29.2475 -71.2438
23000 28.7475 -75.7213
24000 28.2475 -80.1526
25000 27.7475 -80.7746
26000 27.2475 -81.8819
27000 26.7475 -85.3415
28000 26.2475 -84.7281
29000 25.7475 -91.338
30000 25.2475 -89.2519
31000 24.7475 -86.472
32000 24.2475 -93.0883
33000 23.7475 -91.8883
34000 23.2475 -94.0348
35000 22.7475 -95.7476
36000 22.2475 -93.7995
37000 21.7475 -96.9029
38000 21.2475 -95.4123
39000 20.7475 -94.232
40000 20.2475 -96.548
41000 19.7475 -95.506
42000 19.2475 -96.7343
43000 18.7475 -98.741
44000 18.2475 -94.6976
45000 17.7475 -98.0321
46000 17.2475 -97.2772
47000 16.7475 -96.13
48000 16.2475 -97.0419
49000 15.7475 -95.8281
50000 15.2475 -99.1578
51000 14.7475 -96.7441
52000 14.2475 -91.4251
53000 13.7475 -96.025
54000 13.2475 -92.9096
55000 12.7475 -95.3115
56000 12.2475 -91.9435
57000 11.7475 -92.4013
58000 11.2475 -93.9139
59000 10.7475 -90.6415
60000 10.2475 -90.5854
61000 9.7475 -91.5113
62000 9.2475 -90.7111
63000 8.7475 -89.781
64000 8.2475 -87.4549
65000 7.7475 -90.3041
66000 7.2475 -86.6132
67000 6.7475 -90.0979
68000 6.2475 -85.8489
69000 5.7475 -86.3718
70000 5.2475 -87.4927
71000 4.7475 -87.2737
72000 4.2475 -84.0099
73000 3.7475 -85.959
74000 3.2475 -85.4527
75000 2.7475 -80.9871
76000 2.2475 -79.2226
77000 1.7475 -79.482
78000 1.2475 -79.4067
79000 0.7475 -79.0815
80000 0.2475 -77.9049
81000 -0.2525 -74.2097
82000 -0.7525 -71.8222
83000 -1.2525 -72.2874
84000 -1.7525 -69.9947
85000 -2.2525 -68.4812
86000 -2.7525 -65.4988
87000 -3.2525 -63.5981
88000 -3.7525 -61.5473
89000 -4.2525 -58.8998
90000 -4.7525 -55.604
91000 -5.2525 -53.264
92000 -5.7525 -53.3364
93000 -6.2525 -51.0591
94000 -6.7525 -47.1718
95000 -7.2525 -44.7271
96000 -7.7525 -43.1786
97000 -8.2525 -39.6893
98000 -8.7525 -37.4387
99000 -9.2525 -36.0997
100000 -9.7525 -31.5905
101000 -10.2525 -27.8262
102000 -10.7525 -26.7004
103000 -11.2525 -22.9682
104000 -11.7525 -20.6657
105000 -12.2525 -18.5852
106000 -12.7525 -15.6617
107000 -13.2525 -13.9969
108000 -13.7525 -11.8889
109000 -14.2525 -11.5865
110000 -14.7525 -9.90814
111000 -15.2525 -9.02032
112000 -15.7525 -8.10106
113000 -16.2525 -7.29088
114000 -16.7525 -6.4894
115000 -17.2525 -4.81836
116000 -17.7525 -4.03288
117000 -18.2525 -3.23198
118000 -18.7525 -2.651
119000 -19.2525 -1.59574
120000 -19.7525 -1.27186
121000 -20.2525 -1.20591
