# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
16000 77.2475 -71.8353 -0.00596562
17000 76.7475 -74.0012 -0.00614548
18000 76.2475 -75.2955 -0.00625297
19000 75.7475 -75.7852 -0.00629364
20000 75.2475 -82.9137 -0.00688563
21000 74.7475 -84.0108 -0.00697674
22000 74.2475 -87.9296 -0.00730218
23000 73.7475 -85.1854 -0.00707428
24000 73.2475 -86.4696 -0.00718093
25000 72.7475 -88.356 -0.00733759
26000 72.2475 -91.2817 -0.00758055
27000 71.7475 -92.6584 -0.00769488
28000 71.2475 -96.1976 -0.0079888
29000 70.7475 -94.983 -0.00788793
30000 70.2475 -93.5891 -0.00777217
31000 69.7475 -93.5283 -0.00776712
32000 69.2475 -97.0331 -0.00805819
33000 68.7475 -99.3569 -0.00825117
34000 68.2475 -92.4725 -0.00767945
35000 67.7475 -100.606 -0.00835488
36000 67.2475 -102.534 -0.00851498
37000 66.7475 -101.494 -0.00842861
38000 66.2475 -104.844 -0.00870684
39000 65.7475 -103.693 -0.00861124
40000 65.2475 -104.126 -0.00864721
41000 64.7475 -102.394 -0.00850339
42000 64.2475 -108.134 -0.00898003
43000 63.7475 -105.866 -0.0087917
44000 63.2475 -103.573 -0.00860131
45000 62.7475 -103.602 -0.00860372
46000 62.2475 -108.255 -0.00899011
47000 61.7475 -109.107 -0.00906085
48000 61.2475 -103.124 -0.00856399
49000 60.7475 -110.934 -0.00921256
50000 60.2475 -105.718 -0.00877944
51000 59.7475 -110.643 -0.00918846
52000 59.2475 -107.393 -0.00891855
53000 58.7475 -106.843 -0.00887283
54000 58.2475 -107.71 -0.00894487
55000 57.7475 -107.109 -0.00889493
56000 57.2475 -106.649 -0.00885676
57000 56.7475 -107.47 -0.00892496
58000 56.2475 -110.493 -0.00917599
59000 55.7475 -109 -0.00905201
60000 55.2475 -110.763 -0.00919838
61000 54.7475 -106.796 -0.00886893
62000 54.2475 -108.008 -0.00896962
63000 53.7475 -109.705 -0.00911056
64000 53.2475 -109.068 -0.00905766
65000 52.7475 -107.246 -0.00890631
66000 52.2475 -110.773 -0.00919926
67000 51.7475 -104.936 -0.00871448
68000 51.2475 -110.096 -0.00914301
69000 50.7475 -111.006 -0.00921853
70000 50.2475 -108.474 -0.0090083
71000 49.7475 -107.583 -0.00893428
72000 49.2475 -109.343 -0.00908048
73000 48.7475 -108.047 -0.0089728
74000 48.2475 -108.66 -0.00902373
75000 47.7475 -108.79 -0.00903452
76000 47.2475 -105.874 -0.00879235
77000 46.7475 -110.133 -0.00914611
78000 46.2475 -108.646 -0.00902255
79000 45.7475 -110.635 -0.0091878
80000 45.2475 -109.409 -0.00908593
81000 44.7475 -108.487 -0.00900939
82000 44.2475 -108.941 -0.00904709
83000 43.7475 -109.559 -0.00909839
84000 43.2475 -108.372 -0.00899983
85000 42.7475 -107.366 -0.00891633
86000 42.2475 -106.142 -0.00881463
87000 41.7475 -107.11 -0.00889506
88000 41.2475 -108.69 -0.00902623
89000 40.7475 -103.898 -0.00862832
90000 40.2475 -104.633 -0.00868935
91000 39.7475 -104.252 -0.00865771
92000 39.2475 -100.967 -0.00838488
93000 38.7475 -104.594 -0.0086861
94000 38.2475 -104.672 -0.00869253
95000 37.7475 -100.917 -0.0083807
96000 37.2475 -101.407 -0.00842142
97000 36.7475 -98.7862 -0.00820377
98000 36.2475 -101.83 -0.00845656
99000 35.7475 -99.8489 -0.00829203
100000 35.2475 -98.5844 -0.00818701
101000 34.7475 -98.8898 -0.00821238
102000 34.2475 -99.0001 -0.00822154
103000 33.7475 -96.5998 -0.0080222
104000 33.2475 -98.0567 -0.00814319
105000 32.7475 -99.7136 -0.00828079
106000 32.2475 -95.2046 -0.00790634
107000 31.7475 -95.5134 -0.00793198
108000 31.2475 -95.2227 -0.00790784
109000 30.7475 -94.65 -0.00786028
110000 30.2475 -94.4418 -0.00784299
111000 29.7475 -96.0339 -0.00797521
112000 29.2475 -92.9916 -0.00772255
113000 28.7475 -90.5275 -0.00751792
114000 28.2475 -91.942 -0.00763539
115000 27.7475 -91.0678 -0.00756279
116000 27.2475 -91.7023 -0.00761548
117000 26.7475 -91.3521 -0.0075864
118000 26.2475 -88.7797 -0.00737278
119000 25.7475 -86.9317 -0.0072193
120000 25.2475 -87.4304 -0.00726072
121000 24.7475 -87.8278 -0.00729372
122000 24.2475 -86.6144 -0.00719296
123000 23.7475 -84.0544 -0.00698036
124000 23.2475 -84.29 -0.00699992
125000 22.7475 -82.0453 -0.00681351
126000 22.2475 -80.4932 -0.00668461
127000 21.7475 -78.6704 -0.00653324
128000 21.2475 -80.5306 -0.00668772
129000 20.7475 -78.2895 -0.00650161
130000 20.2475 -76.5122 -0.00635401
131000 19.7475 -76.3563 -0.00634107
132000 19.2475 -73.8675 -0.00613438
133000 18.7475 -73.8643 -0.00613412
134000 18.2475 -72.2872 -0.00600314
135000 17.7475 -69.6308 -0.00578254
136000 17.2475 -70.7414 -0.00587477
137000 16.7475 -68.8346 -0.00571642
138000 16.2475 -64.75 -0.00537721
139000 15.7475 -64.7061 -0.00537357
140000 15.2475 -60.8532 -0.0050536
141000 14.7475 -60.0964 -0.00499075
142000 14.2475 -56.2308 -0.00466973
143000 13.7475 -53.257 -0.00442277
144000 13.2475 -47.9848 -0.00398493
145000 12.7475 -44.5874 -0.00370279
146000 12.2475 -40.8369 -0.00339133
147000 11.7475 -36.2298 -0.00300873
148000 11.2475 -30.8062 -0.00255832
149000 10.7475 -26.4816 -0.00219918
150000 10.2475 -22.1263 -0.0018375
151000 9.7475 -18.5813 -0.0015431
152000 9.2475 -15.7639 -0.00130912
153000 8.7475 -12.1274 -0.00100713
154000 8.2475 -8.70778 -0.000723144
155000 7.7475 -6.77503 -0.000562638
156000 7.2475 -5.32276 -0.000442032
157000 6.7475 -4.09396 -0.000339986
158000 6.2475 -2.91521 -0.000242095
159000 5.7475 -1.89054 -0.000157001
160000 5.2475 -0.969789 -8.05368e-05
161000 4.7475 -0.463009 -3.84509e-05
162000 4.2475 -0.258031 -2.14283e-05
163000 3.7475 -0.19612 -1.62869e-05
164000 3.2475 -0.20642 -1.71423e-05
165000 2.7475 -0.23025 -1.91213e-05
166000 2.2475 -0.0698694 -5.80236e-06
167000 1.7475 -0.230609 -1.91511e-05
168000 1.2475 -0.188296 -1.56372e-05
169000 0.7475 -0.149418 -1.24086e-05
170000 0.2475 -0.193067 -1.60334e-05
171000 -0.2525 -0.200649 -1.6663e-05
172000 -0.7525 -0.161155 -1.33832e-05
173000 -1.2525 -0.199075 -1.65324e-05
174000 -1.7525 -0.260785 -2.16571e-05
175000 -2.2525 -0.259315 -2.1535e-05
176000 -2.7525 -0.209462 -1.73949e-05
177000 -3.2525 -0.197596 -1.64095e-05
178000 -3.7525 -0.242377 -2.01284e-05
179000 -4.2525 -0.209579 -1.74047e-05
180000 -4.7525 -0.245511 -2.03886e-05
181000 -5.2525 -0.244373 -2.02941e-05
182000 -5.7525 -0.246152 -2.04418e-05
183000 -6.2525 -0.0362848 -3.0133e-06
184000 -6.7525 0 0
185000 -7.2525 0 0
186000 -7.7525 0 0
187000 -8.2525 0 0
188000 -8.7525 0 0
189000 -9.2525 0 0
190000 -9.7525 0 0
191000 -10.2525 0 0
192000 -10.7525 0 0
193000 -11.2525 0 0
194000 -11.7525 0 0
195000 -12.2525 0 0
196000 -12.7525 0 0
197000 -13.2525 0 0
198000 -13.7525 0 0
199000 -14.2525 0 0
200000 -14.7525 0 0
201000 -15.2525 0 0
202000 -15.7525 0 0
203000 -16.2525 0 0
204000 -16.7525 0 0
205000 -17.2525 0 0
206000 -17.7525 0 0
207000 -18.2525 0 0
208000 -18.7525 0 0
209000 -19.2525 0 0
210000 -19.7525 0 0
211000 -20.2525 0 0
212000 -20.7525 0 0
213000 -21.2525 0 0
214000 -21.7525 0 0
215000 -22.2525 0 0
216000 -22.7525 0 0
217000 -23.2525 0 0
218000 -23.7525 0 0
219000 -24.2525 0 0
220000 -24.7525 0 0
221000 -25.2525 0 0
222000 -25.7525 0 0
223000 -26.2525 0 0
224000 -26.7525 0 0
225000 -27.2525 0 0
226000 -27.7525 0 0
227000 -28.2525 0 0
228000 -28.7525 0 0
229000 -29.2525 0 0
230000 -29.7525 0 0
231000 -30.2525 0 0
232000 -30.7525 0 0
233000 -31.2525 0 0
234000 -31.7525 0 0
235000 -32.2525 0 0
236000 -32.7525 0 0
237000 -33.2525 0 0
238000 -33.7525 0 0
239000 -34.2525 0 0
240000 -34.7525 0 0
241000 -35.2525 0 0
242000 -35.7525 0 0
243000 -36.2525 0 0
244000 -36.7525 0 0
245000 -37.2525 0 0
246000 -37.7525 0 0
247000 -38.2525 0 0
248000 -38.7525 0 0
249000 -39.2525 0 0
250000 -39.7525 0 0
