# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 0.2525 0 0
2000 0.7525 0 0
3000 1.2525 0 0
4000 1.7525 0 0
5000 2.2525 0 0
6000 2.7525 0 0
7000 3.2525 0 0
8000 3.7525 0 0
9000 4.2525 0 0
10000 4.7525 0 0
11000 5.2525 0 0
12000 5.7525 0 0
13000 6.2525 0 0
14000 6.7525 0 0
15000 7.2525 0 0
16000 7.7525 0 0
17000 8.2525 0 0
18000 8.7525 0 0
19000 9.2525 0 0
20000 9.7525 0 0
21000 10.2525 0 0
22000 10.7525 0 0
23000 11.2525 0 0
24000 11.7525 0 0
25000 12.2525 0 0
26000 12.7525 0 0
27000 13.2525 0 0
28000 13.7525 0 0
29000 14.2525 0 0
30000 14.7525 0 0
31000 15.2525 0 0
32000 15.7525 0 0
33000 16.2525 0 0
34000 16.7525 0 0
35000 17.2525 0 0
36000 17.7525 0 0
37000 18.2525 0 0
38000 18.7525 0 0
39000 19.2525 0 0
40000 19.7525 0 0
41000 20.2525 0 0
42000 20.7525 0 0
43000 21.2525 0 0
44000 21.7525 0 0
45000 22.2525 0 0
46000 22.7525 0 0
47000 23.2525 0 0
48000 23.7525 0 0
49000 24.2525 0 0
50000 24.7525 0 0
51000 25.2525 0 0
52000 25.7525 0 0
53000 26.2525 0 0
54000 26.7525 0 0
55000 27.2525 0 0
56000 27.7525 0 0
57000 28.2525 0 0
58000 28.7525 0 0
59000 29.2525 0 0
60000 29.7525 0 0
61000 30.2525 0 0
62000 30.7525 0 0
63000 31.2525 0 0
64000 31.7525 0 0
65000 32.2525 0 0
66000 32.7525 0 0
67000 33.2525 0 0
68000 33.7525 0 0
69000 34.2525 0 0
70000 34.7525 0 0
71000 35.2525 0 0
72000 35.7525 0 0
73000 36.2525 0 0
74000 36.7525 0 0
75000 37.2525 0 0
76000 37.7525 0 0
77000 38.2525 0 0
78000 38.7525 0 0
79000 39.2525 0 0
80000 39.7525 0 0
81000 40.2525 0 0
82000 40.7525 0 0
83000 41.2525 0 0
84000 41.7525 0 0
85000 42.2525 0 0
86000 42.7525 0 0
87000 43.2525 0 0
88000 43.7525 0 0
89000 44.2525 0 0
90000 44.7525 -4.73982e-06 -3.93622e-10
91000 45.2525 -0.0229519 -1.90606e-06
92000 45.7525 -0.112946 -9.37967e-06
93000 46.2525 0.00656966 5.45582e-07
94000 46.7525 -0.182701 -1.51725e-05
95000 47.2525 -0.0144242 -1.19787e-06
96000 47.7525 -0.017782 -1.47672e-06
97000 48.2525 -0.10878 -9.0337e-06
98000 48.7525 -0.407378 -3.3831e-05
99000 49.2525 -0.308291 -2.56022e-05
100000 49.7525 -0.400432 -3.32542e-05
101000 50.2525 -0.445748 -3.70174e-05
102000 50.7525 -0.397007 -3.29697e-05
103000 51.2525 -0.25508 -2.11833e-05
104000 51.7525 -0.594331 -4.93567e-05
105000 52.2525 -1.06514 -8.84557e-05
106000 52.7525 -1.503 -0.000124817
107000 53.2525 -1.54054 -0.000127935
108000 53.7525 -1.3034 -0.000108242
109000 54.2525 -1.10573 -9.18259e-05
110000 54.7525 -2.68589 -0.000223052
111000 55.2525 -2.37081 -0.000196886
112000 55.7525 -3.20879 -0.000266476
113000 56.2525 -2.94614 -0.000244665
114000 56.7525 -3.22812 -0.000268082
115000 57.2525 -3.02911 -0.000251555
116000 57.7525 -4.90149 -0.000407048
117000 58.2525 -4.72748 -0.000392597
118000 58.7525 -3.79519 -0.000315174
119000 59.2525 -5.74418 -0.000477029
120000 59.7525 -7.94372 -0.000659692
121000 60.2525 -9.0147 -0.000748633
122000 60.7525 -8.28452 -0.000687994
123000 61.2525 -12.2257 -0.00101529
124000 61.7525 -10.3691 -0.000861113
125000 62.2525 -11.5218 -0.000956834
126000 62.7525 -12.8988 -0.00107119
127000 63.2525 -12.4341 -0.0010326
128000 63.7525 -13.9189 -0.0011559
129000 64.2525 -16.5623 -0.00137543
130000 64.7525 -14.5016 -0.00120429
131000 65.2525 -16.9057 -0.00140395
132000 65.7525 -16.6884 -0.0013859
133000 66.2525 -21.1271 -0.00175452
134000 66.7525 -14.5589 -0.00120906
135000 67.2525 -16.6952 -0.00138647
136000 67.7525 -19.7414 -0.00163944
137000 68.2525 -16.4405 -0.00136532
138000 68.7525 -18.8804 -0.00156794
139000 69.2525 -16.309 -0.0013544
140000 69.7525 -18.6115 -0.0015456
141000 70.2525 -17.1597 -0.00142504
142000 70.7525 -15.4222 -0.00128075
143000 71.2525 -15.8057 -0.0013126
144000 71.7525 -10.7269 -0.00089082
145000 72.2525 -14.8649 -0.00123447
146000 72.7525 -11.9605 -0.000993272
147000 73.2525 -6.35968 -0.000528144
148000 73.7525 -5.33243 -0.000442835
149000 74.2525 -3.4812 -0.000289099
150000 74.7525 -1.01365 -8.41796e-05
151000 75.2525 2.34972 0.000195134
152000 75.7525 -0.0838991 -6.96746e-06
153000 76.2525 6.41505 0.000532743
154000 76.7525 12.8335 0.00106576
155000 77.2525 14.5321 0.00120682
156000 77.7525 11.6464 0.000967183
157000 78.2525 20.6792 0.00171732
158000 78.7525 18.7419 0.00155644
159000 79.2525 24.6736 0.00204904
160000 79.7525 27.7614 0.00230546
161000 80.2525 33.4827 0.00278059
162000 80.7525 33.0081 0.00274118
163000 81.2525 43.6265 0.00362299
164000 81.7525 44.3917 0.00368654
165000 82.2525 49.1577 0.00408234
166000 82.7525 52.0724 0.00432439
167000 83.2525 55.0302 0.00457002
168000 83.7525 63.9502 0.00531079
169000 84.2525 68.9574 0.00572662
170000 84.7525 70.2569 0.00583454
# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 84.7475 22.7917 0.00189275
2000 84.2475 27.5367 0.00228681
3000 83.7475 17.8589 0.00148311
4000 83.2475 0.894396 7.42757e-05
5000 82.7475 -6.70368 -0.000556712
6000 82.2475 -21.2451 -0.00176432
7000 81.7475 -25.6421 -0.00212946
8000 81.2475 -37.121 -0.00308274
9000 80.7475 -42.3757 -0.00351912
10000 80.2475 -45.1532 -0.00374978
11000 79.7475 -50.2014 -0.00416901
12000 79.2475 -54.7368 -0.00454566
13000 78.7475 -57.6237 -0.0047854
14000 78.2475 -60.9926 -0.00506518
15000 77.7475 -71.6348 -0.00594896
16000 77.2475 -67.5086 -0.0056063
17000 76.7475 -72.357 -0.00600894
18000 76.2475 -72.7047 -0.00603781
